Type,Location,Course,Class,Car,Leggy's Time,Roo's Time
Rally Cross,"Yas Marina Circuit, Abu Dhabi",,Supercars,Volkswagen Polo R Supercar,0:40.722,0:43.550
Rally,"Ribadelles, Spain",Vinedos Dardenya,Modern Rally NR4/R4,SUBARU WRX STI NR4,3:17.892,3:22.649
Rally,"Jämsä, Finland",Kotajärvi,Historic Rally Group B (RWD),BMW M1 Procar Rally,4:17.325,4:29.256
Rally,"New England, USA",Tolt Valley Sprint Forward,Modern Rally R2,Ford Fiesta R2,3:21.773,3:33.639
Rally,"Monte Carlo, Monaco",Col de Turini - Sprint en montee,Modern Rally NR4/R4,Mitsubishi Lancer Evolution X,3:53.953,4:08.839
Rally,"Perth and Kinross, Scotland",South Morningside,Modern Rally GT,Ford Mustang GT4,7:30.857,8:26.428
Rally,"Värmland, Sweden",Ostra HinnsjonLysvik,Historic Rally H2 (RWD),Fiat 131 Abarth Rally,2:44.993,2:56.576
Rally,"Hawkes Bay, New Zealand",Te Awanga Sprint Reverse,Modern Rally NR4/R4,Mitsubishi Lancer Evolution X,3:22.577,3:29.023
Rally,"New England, USA",Beaver Creek Trail Forward,Modern Rally R5,Peugeot 208 T16 R5,6:16.341,6:49.046
Rally,"Catamarca Province, Argentina",Camino de Acantilados y Rocas,Historic Rally Group B (4WD),Lancia Delta S4,3:49.868,4:30.514
Rally,"New England, USA",Tolt Valley Sprint Forward,Historic Rally H1 (FWD),Citroen DS 21,3:53.406,4:01.276
Rally,"Baumholder, Germany",Kreuzungsring reverse,Historic Rally Group B (4WD),Peugeot 205 T16 Evo 2,2:36.221,2:50.710
Rally,"Jämsä, Finland",Iso Oksajärvi,Historic Rally H1 (FWD),Lancia Fulvia HF,3:52.173,3:55.283
Rally,"Łęczna County, Poland",Lejno,F2 Kit Car,Volkswagen Golf GTI Mk 4 Kit Car,3:08.235,3:12.141
Rally,"Monaro, Australia",Chandlers Creek,Historic Rally H2 (RWD),Ford Escort Mk II,7:29.273,8:45.000
Rally,"Jämsä, Finland",Pitkäjärvi,Up to 2000cc (4WD),Ford Focus RS Rally 2001,07:46.471,08:22.508
Rally,"Ribadelles, Spain",Final en Bellriu,Modern Rally GT,Porsche 911 RGT Rally spec,07:13.147,07:58.112
